手牌 (Hand),前段牌 (Front Tiles),後段牌 (Rear Tiles),前段牌型 (Front Rank),後段牌型 (Rear Rank)
"和, 地, 地, 猴","地, 和","地, 猴","6點","8點"
"和, 地, 地, 短七","地, 和","地, 短七","6點","9點"
"和, 地, 地, 短六","地, 和","地, 短六","6點","8點"
"和, 地, 地, 短十","和, 短十","地, 地","4點","地對"
"和, 地, 地, 短十一","和, 短十一","地, 地","5點","地對"
"和, 地, 地, 長六","地, 和","地, 長六","6點","8點"
"和, 地, 地, 長十","和, 長十","地, 地","4點","地對"
"和, 地, 地, 長四","和, 長四","地, 地","8點","地對"
"和, 地, 地, 雜七","地, 和","地, 雜七","6點","9點"
"和, 地, 地, 雜九","地, 和","地, 雜九","6點","地王"
"和, 地, 地, 雜五","和, 雜五","地, 地","9點","地對"
"和, 地, 地, 雜八","地, 和","地, 雜八","6點","地槓"
"和, 地, 天, 天","地, 和","天, 天","6點","天對"
"和, 地, 天, 猴","天, 和","地, 猴","6點","8點"
"和, 地, 天, 短七","天, 和","地, 短七","6點","9點"
"和, 地, 天, 短六","天, 和","地, 短六","6點","8點"
"和, 地, 天, 短十","和, 短十","天, 地","4點","4點"
"和, 地, 天, 短十一","天, 地","和, 短十一","4點","5點"
"和, 地, 天, 長六","天, 和","地, 長六","6點","8點"
"和, 地, 天, 長十","和, 長十","天, 地","4點","4點"
"和, 地, 天, 長四","地, 長四","天, 和","6點","6點"
"和, 地, 天, 雜七","天, 和","地, 雜七","6點","9點"
"和, 地, 天, 雜九","天, 和","地, 雜九","6點","地王"
"和, 地, 天, 雜五","天, 和","地, 雜五","6點","7點"
"和, 地, 天, 雜八","天, 和","地, 雜八","6點","地槓"
"和, 地, 猴, 猴","地, 和","猴, 猴","6點","猴對"
"和, 地, 猴, 短七","和, 猴","地, 短七","7點","9點"
"和, 地, 猴, 短六","和, 猴","地, 短六","7點","8點"
"和, 地, 猴, 短十","短十, 猴","地, 和","6點","6點"
"和, 地, 猴, 短十一","地, 和","短十一, 猴","6點","7點"
"和, 地, 猴, 長六","和, 猴","地, 長六","7點","8點"
"和, 地, 猴, 長十","長十, 猴","地, 和","6點","6點"
"和, 地, 猴, 長四","和, 長四","地, 猴","8點","8點"
"和, 地, 猴, 雜七","和, 猴","地, 雜七","7點","9點"
"和, 地, 猴, 雜九","和, 猴","地, 雜九","7點","地王"
"和, 地, 猴, 雜五","地, 猴","和, 雜五","8點","9點"
"和, 地, 猴, 雜八","和, 猴","地, 雜八","7點","地槓"
"和, 地, 短七, 短七","地, 和","短七, 短七","6點","短七對"
"和, 地, 短七, 短六","和, 短六","地, 短七","0點","9點"
"和, 地, 短七, 短十","和, 短十","地, 短七","4點","9點"
"和, 地, 短七, 短十一","和, 短十一","地, 短七","5點","9點"
"和, 地, 短七, 長六","和, 長六","地, 短七","0點","9點"
"和, 地, 短七, 長十","和, 長十","地, 短七","4點","9點"
"和, 地, 短七, 長四","和, 長四","地, 短七","8點","9點"
"和, 地, 短七, 雜七","和, 雜七","地, 短七","1點","9點"
"和, 地, 短七, 雜九","和, 短七","地, 雜九","1點","地王"
"和, 地, 短七, 雜五","和, 雜五","地, 短七","9點","9點"
"和, 地, 短七, 雜八","和, 短七","地, 雜八","1點","地槓"
"和, 地, 短六, 短六","地, 和","短六, 短六","6點","短六對"
"和, 地, 短六, 短十","短十, 短六","地, 和","6點","6點"
"和, 地, 短六, 短十一","地, 和","短十一, 短六","6點","7點"
"和, 地, 短六, 長六","和, 短六","地, 長六","0點","8點"
"和, 地, 短六, 長十","長十, 短六","地, 和","6點","6點"
"和, 地, 短六, 長四","和, 長四","地, 短六","8點","8點"
"和, 地, 短六, 雜七","和, 短六","地, 雜七","0點","9點"
"和, 地, 短六, 雜九","和, 短六","地, 雜九","0點","地王"
"和, 地, 短六, 雜五","地, 短六","和, 雜五","8點","9點"
"和, 地, 短六, 雜八","和, 短六","地, 雜八","0點","地槓"
"和, 地, 短十, 短十","地, 和","短十, 短十","6點","短十對"
"和, 地, 短十, 短十一","地, 短十一","和, 短十","3點","4點"
"和, 地, 短十, 長六","長六, 短十","地, 和","6點","6點"
"和, 地, 短十, 長十","地, 長十","和, 短十","2點","4點"
"和, 地, 短十, 長四","和, 短十","地, 長四","4點","6點"
"和, 地, 短十, 雜七","和, 短十","地, 雜七","4點","9點"
"和, 地, 短十, 雜九","和, 短十","地, 雜九","4點","地王"
"和, 地, 短十, 雜五","短十, 雜五","地, 和","5點","6點"
"和, 地, 短十, 雜八","和, 短十","地, 雜八","4點","地槓"
"和, 地, 短十一, 短十一","地, 和","短十一, 短十一","6點","短十一對"
"和, 地, 短十一, 長六","地, 和","長六, 短十一","6點","7點"
"和, 地, 短十一, 長十","地, 短十一","和, 長十","3點","4點"
"和, 地, 短十一, 長四","和, 短十一","地, 長四","5點","6點"
"和, 地, 短十一, 雜七","和, 短十一","地, 雜七","5點","9點"
"和, 地, 短十一, 雜九","和, 短十一","地, 雜九","5點","地王"
"和, 地, 短十一, 雜五","短十一, 雜五","地, 和","6點","6點"
"和, 地, 短十一, 雜八","和, 短十一","地, 雜八","5點","地槓"
"和, 地, 長六, 長六","地, 和","長六, 長六","6點","長六對"
"和, 地, 長六, 長十","長十, 長六","地, 和","6點","6點"
"和, 地, 長六, 長四","和, 長四","地, 長六","8點","8點"
"和, 地, 長六, 雜七","和, 長六","地, 雜七","0點","9點"
"和, 地, 長六, 雜九","和, 長六","地, 雜九","0點","地王"
"和, 地, 長六, 雜五","地, 長六","和, 雜五","8點","9點"
"和, 地, 長六, 雜八","和, 長六","地, 雜八","0點","地槓"
"和, 地, 長十, 長十","地, 和","長十, 長十","6點","長十對"
"和, 地, 長十, 長四","和, 長十","地, 長四","4點","6點"
"和, 地, 長十, 雜七","和, 長十","地, 雜七","4點","9點"
"和, 地, 長十, 雜九","和, 長十","地, 雜九","4點","地王"
"和, 地, 長十, 雜五","長十, 雜五","地, 和","5點","6點"
"和, 地, 長十, 雜八","和, 長十","地, 雜八","4點","地槓"
"和, 地, 長四, 長四","地, 和","長四, 長四","6點","長四對"
"和, 地, 長四, 雜七","和, 長四","地, 雜七","8點","9點"
"和, 地, 長四, 雜九","和, 長四","地, 雜九","8點","地王"
"和, 地, 長四, 雜五","地, 雜五","和, 長四","7點","8點"
"和, 地, 長四, 雜八","和, 長四","地, 雜八","8點","地槓"
"和, 地, 雜七, 雜七","地, 和","雜七, 雜七","6點","雜七對"
"和, 地, 雜七, 雜九","和, 雜七","地, 雜九","1點","地王"
"和, 地, 雜七, 雜五","和, 雜五","地, 雜七","9點","9點"
"和, 地, 雜七, 雜八","和, 雜七","地, 雜八","1點","地槓"
"和, 地, 雜九, 雜九","地, 和","雜九, 雜九","6點","雜九對"
"和, 地, 雜九, 雜五","和, 雜五","地, 雜九","9點","地王"
"和, 地, 雜九, 雜八","和, 雜九","地, 雜八","3點","地槓"
"和, 地, 雜五, 雜五","地, 和","雜五, 雜五","6點","雜五對"
"和, 地, 雜五, 雜八","和, 雜五","地, 雜八","9點","地槓"
"和, 地, 雜八, 雜八","地, 和","雜八, 雜八","6點","雜八對"
"和, 天, 天, 猴","天, 和","天, 猴","6點","8點"
"和, 天, 天, 短七","天, 和","天, 短七","6點","9點"
"和, 天, 天, 短六","天, 和","天, 短六","6點","8點"
"和, 天, 天, 短十","和, 短十","天, 天","4點","天對"
"和, 天, 天, 短十一","和, 短十一","天, 天","5點","天對"
"和, 天, 天, 長六","天, 和","天, 長六","6點","8點"
"和, 天, 天, 長十","和, 長十","天, 天","4點","天對"
"和, 天, 天, 長四","和, 長四","天, 天","8點","天對"
"和, 天, 天, 雜七","天, 和","天, 雜七","6點","9點"
"和, 天, 天, 雜九","天, 和","天, 雜九","6點","天王"
"和, 天, 天, 雜五","和, 雜五","天, 天","9點","天對"
"和, 天, 天, 雜八","天, 和","天, 雜八","6點","天槓"
"和, 天, 猴, 猴","天, 和","猴, 猴","6點","猴對"
"和, 天, 猴, 短七","和, 猴","天, 短七","7點","9點"
"和, 天, 猴, 短六","和, 猴","天, 短六","7點","8點"
"和, 天, 猴, 短十","短十, 猴","天, 和","6點","6點"
"和, 天, 猴, 短十一","天, 和","短十一, 猴","6點","7點"
"和, 天, 猴, 長六","和, 猴","天, 長六","7點","8點"
"和, 天, 猴, 長十","長十, 猴","天, 和","6點","6點"
"和, 天, 猴, 長四","天, 長四","和, 猴","6點","7點"
"和, 天, 猴, 雜七","和, 猴","天, 雜七","7點","9點"
"和, 天, 猴, 雜九","和, 猴","天, 雜九","7點","天王"
"和, 天, 猴, 雜五","天, 猴","和, 雜五","8點","9點"
"和, 天, 猴, 雜八","和, 猴","天, 雜八","7點","天槓"
"和, 天, 短七, 短七","天, 和","短七, 短七","6點","短七對"
"和, 天, 短七, 短六","和, 短六","天, 短七","0點","9點"
"和, 天, 短七, 短十","和, 短十","天, 短七","4點","9點"
"和, 天, 短七, 短十一","和, 短十一","天, 短七","5點","9點"
"和, 天, 短七, 長六","和, 長六","天, 短七","0點","9點"
"和, 天, 短七, 長十","和, 長十","天, 短七","4點","9點"
"和, 天, 短七, 長四","和, 長四","天, 短七","8點","9點"
"和, 天, 短七, 雜七","和, 雜七","天, 短七","1點","9點"
"和, 天, 短七, 雜九","和, 短七","天, 雜九","1點","天王"
"和, 天, 短七, 雜五","和, 雜五","天, 短七","9點","9點"
"和, 天, 短七, 雜八","和, 短七","天, 雜八","1點","天槓"
"和, 天, 短六, 短六","天, 和","短六, 短六","6點","短六對"
"和, 天, 短六, 短十","短十, 短六","天, 和","6點","6點"
"和, 天, 短六, 短十一","天, 和","短十一, 短六","6點","7點"
"和, 天, 短六, 長六","和, 短六","天, 長六","0點","8點"
"和, 天, 短六, 長十","長十, 短六","天, 和","6點","6點"
"和, 天, 短六, 長四","和, 長四","天, 短六","8點","8點"
"和, 天, 短六, 雜七","和, 短六","天, 雜七","0點","9點"
"和, 天, 短六, 雜九","和, 短六","天, 雜九","0點","天王"
"和, 天, 短六, 雜五","天, 短六","和, 雜五","8點","9點"
"和, 天, 短六, 雜八","和, 短六","天, 雜八","0點","天槓"
"和, 天, 短十, 短十","天, 和","短十, 短十","6點","短十對"
"和, 天, 短十, 短十一","天, 短十一","和, 短十","3點","4點"
"和, 天, 短十, 長六","長六, 短十","天, 和","6點","6點"
"和, 天, 短十, 長十","天, 長十","和, 短十","2點","4點"
"和, 天, 短十, 長四","和, 短十","天, 長四","4點","6點"
"和, 天, 短十, 雜七","和, 短十","天, 雜七","4點","9點"
"和, 天, 短十, 雜九","和, 短十","天, 雜九","4點","天王"
"和, 天, 短十, 雜五","短十, 雜五","天, 和","5點","6點"
"和, 天, 短十, 雜八","和, 短十","天, 雜八","4點","天槓"
"和, 天, 短十一, 短十一","天, 和","短十一, 短十一","6點","短十一對"
"和, 天, 短十一, 長六","天, 和","長六, 短十一","6點","7點"
"和, 天, 短十一, 長十","天, 短十一","和, 長十","3點","4點"
"和, 天, 短十一, 長四","和, 短十一","天, 長四","5點","6點"
"和, 天, 短十一, 雜七","和, 短十一","天, 雜七","5點","9點"
"和, 天, 短十一, 雜九","和, 短十一","天, 雜九","5點","天王"
"和, 天, 短十一, 雜五","短十一, 雜五","天, 和","6點","6點"
"和, 天, 短十一, 雜八","和, 短十一","天, 雜八","5點","天槓"
"和, 天, 長六, 長六","天, 和","長六, 長六","6點","長六對"
"和, 天, 長六, 長十","長十, 長六","天, 和","6點","6點"
"和, 天, 長六, 長四","和, 長四","天, 長六","8點","8點"
"和, 天, 長六, 雜七","和, 長六","天, 雜七","0點","9點"
"和, 天, 長六, 雜九","和, 長六","天, 雜九","0點","天王"
"和, 天, 長六, 雜五","天, 長六","和, 雜五","8點","9點"
"和, 天, 長六, 雜八","和, 長六","天, 雜八","0點","天槓"
"和, 天, 長十, 長十","天, 和","長十, 長十","6點","長十對"
"和, 天, 長十, 長四","和, 長十","天, 長四","4點","6點"
"和, 天, 長十, 雜七","和, 長十","天, 雜七","4點","9點"
"和, 天, 長十, 雜九","和, 長十","天, 雜九","4點","天王"
"和, 天, 長十, 雜五","長十, 雜五","天, 和","5點","6點"
"和, 天, 長十, 雜八","和, 長十","天, 雜八","4點","天槓"
"和, 天, 長四, 長四","天, 和","長四, 長四","6點","長四對"
"和, 天, 長四, 雜七","和, 長四","天, 雜七","8點","9點"
"和, 天, 長四, 雜九","和, 長四","天, 雜九","8點","天王"
"和, 天, 長四, 雜五","天, 長四","和, 雜五","6點","9點"
"和, 天, 長四, 雜八","和, 長四","天, 雜八","8點","天槓"
"和, 天, 雜七, 雜七","天, 和","雜七, 雜七","6點","雜七對"
"和, 天, 雜七, 雜九","和, 雜七","天, 雜九","1點","天王"
"和, 天, 雜七, 雜五","和, 雜五","天, 雜七","9點","9點"
"和, 天, 雜七, 雜八","和, 雜七","天, 雜八","1點","天槓"
"和, 天, 雜九, 雜九","天, 和","雜九, 雜九","6點","雜九對"
"和, 天, 雜九, 雜五","和, 雜五","天, 雜九","9點","天王"
"和, 天, 雜九, 雜八","和, 雜九","天, 雜八","3點","天槓"
"和, 天, 雜五, 雜五","天, 和","雜五, 雜五","6點","雜五對"
"和, 天, 雜五, 雜八","和, 雜五","天, 雜八","9點","天槓"
"和, 天, 雜八, 雜八","天, 和","雜八, 雜八","6點","雜八對"
"和, 猴, 猴, 短七","和, 短七","猴, 猴","1點","猴對"
"和, 猴, 猴, 短六","和, 猴","短六, 猴","7點","9點"
"和, 猴, 猴, 短十","和, 短十","猴, 猴","4點","猴對"
"和, 猴, 猴, 短十一","和, 短十一","猴, 猴","5點","猴對"
"和, 猴, 猴, 長六","和, 猴","長六, 猴","7點","9點"
"和, 猴, 猴, 長十","和, 長十","猴, 猴","4點","猴對"
"和, 猴, 猴, 長四","和, 長四","猴, 猴","8點","猴對"
"和, 猴, 猴, 雜七","和, 雜七","猴, 猴","1點","猴對"
"和, 猴, 猴, 雜九","和, 雜九","猴, 猴","3點","猴對"
"和, 猴, 猴, 雜五","和, 雜五","猴, 猴","9點","猴對"
"和, 猴, 猴, 雜八","和, 雜八","猴, 猴","2點","猴對"
"和, 猴, 短七, 短七","和, 猴","短七, 短七","7點","短七對"
"和, 猴, 短七, 短六","和, 短七","短六, 猴","1點","9點"
"和, 猴, 短七, 短十","短十, 短七","和, 猴","7點","7點"
"和, 猴, 短七, 短十一","和, 猴","短十一, 短七","7點","8點"
"和, 猴, 短七, 長六","長六, 短七","和, 猴","3點","7點"
"和, 猴, 短七, 長十","長十, 短七","和, 猴","7點","7點"
"和, 猴, 短七, 長四","短七, 猴","和, 長四","3點","8點"
"和, 猴, 短七, 雜七","短七, 雜七","和, 猴","4點","7點"
"和, 猴, 短七, 雜九","短七, 雜九","和, 猴","6點","7點"
"和, 猴, 短七, 雜五","短七, 猴","和, 雜五","3點","9點"
"和, 猴, 短七, 雜八","短七, 雜八","和, 猴","5點","7點"
"和, 猴, 短六, 短六","和, 猴","短六, 短六","7點","短六對"
"和, 猴, 短六, 短十","短十, 短六","和, 猴","6點","7點"
"和, 猴, 短六, 短十一","短十一, 短六","和, 猴","7點","7點"
"和, 猴, 短六, 長六","和, 短六","長六, 猴","0點","9點"
"和, 猴, 短六, 長十","長十, 短六","和, 猴","6點","7點"
"和, 猴, 短六, 長四","和, 長四","短六, 猴","8點","9點"
"和, 猴, 短六, 雜七","和, 雜七","短六, 猴","1點","9點"
"和, 猴, 短六, 雜九","短六, 雜九","和, 猴","5點","7點"
"和, 猴, 短六, 雜五","短六, 猴","和, 雜五","9點","9點"
"和, 猴, 短六, 雜八","短六, 雜八","和, 猴","4點","7點"
"和, 猴, 短十, 短十","和, 猴","短十, 短十","7點","短十對"
"和, 猴, 短十, 短十一","和, 短十一","短十, 猴","5點","6點"
"和, 猴, 短十, 長六","長六, 短十","和, 猴","6點","7點"
"和, 猴, 短十, 長十","和, 長十","短十, 猴","4點","6點"
"和, 猴, 短十, 長四","短十, 猴","和, 長四","6點","8點"
"和, 猴, 短十, 雜七","短十, 雜七","和, 猴","7點","7點"
"和, 猴, 短十, 雜九","和, 猴","短十, 雜九","7點","9點"
"和, 猴, 短十, 雜五","短十, 猴","和, 雜五","6點","9點"
"和, 猴, 短十, 雜八","和, 猴","短十, 雜八","7點","8點"
"和, 猴, 短十一, 短十一","和, 猴","短十一, 短十一","7點","短十一對"
"和, 猴, 短十一, 長六","長六, 短十一","和, 猴","7點","7點"
"和, 猴, 短十一, 長十","和, 短十一","長十, 猴","5點","6點"
"和, 猴, 短十一, 長四","短十一, 猴","和, 長四","7點","8點"
"和, 猴, 短十一, 雜七","和, 猴","短十一, 雜七","7點","8點"
"和, 猴, 短十一, 雜九","雜九, 猴","和, 短十一","5點","5點"
"和, 猴, 短十一, 雜五","短十一, 猴","和, 雜五","7點","9點"
"和, 猴, 短十一, 雜八","和, 猴","短十一, 雜八","7點","9點"
"和, 猴, 長六, 長六","和, 猴","長六, 長六","7點","長六對"
"和, 猴, 長六, 長十","長十, 長六","和, 猴","6點","7點"
"和, 猴, 長六, 長四","和, 長四","長六, 猴","8點","9點"
"和, 猴, 長六, 雜七","長六, 雜七","和, 猴","3點","7點"
"和, 猴, 長六, 雜九","長六, 雜九","和, 猴","5點","7點"
"和, 猴, 長六, 雜五","長六, 猴","和, 雜五","9點","9點"
"和, 猴, 長六, 雜八","長六, 雜八","和, 猴","4點","7點"
"和, 猴, 長十, 長十","和, 猴","長十, 長十","7點","長十對"
"和, 猴, 長十, 長四","長十, 猴","和, 長四","6點","8點"
"和, 猴, 長十, 雜七","長十, 雜七","和, 猴","7點","7點"
"和, 猴, 長十, 雜九","和, 猴","長十, 雜九","7點","9點"
"和, 猴, 長十, 雜五","長十, 猴","和, 雜五","6點","9點"
"和, 猴, 長十, 雜八","和, 猴","長十, 雜八","7點","8點"
"和, 猴, 長四, 長四","和, 猴","長四, 長四","7點","長四對"
"和, 猴, 長四, 雜七","雜七, 猴","和, 長四","3點","8點"
"和, 猴, 長四, 雜九","雜九, 猴","和, 長四","5點","8點"
"和, 猴, 長四, 雜五","長四, 猴","和, 雜五","7點","9點"
"和, 猴, 長四, 雜八","雜八, 猴","和, 長四","4點","8點"
"和, 猴, 雜七, 雜七","和, 猴","雜七, 雜七","7點","雜七對"
"和, 猴, 雜七, 雜九","雜九, 雜七","和, 猴","6點","7點"
"和, 猴, 雜七, 雜五","雜七, 猴","和, 雜五","3點","9點"
"和, 猴, 雜七, 雜八","雜八, 雜七","和, 猴","5點","7點"
"和, 猴, 雜九, 雜九","和, 猴","雜九, 雜九","7點","雜九對"
"和, 猴, 雜九, 雜五","雜九, 猴","和, 雜五","5點","9點"
"和, 猴, 雜九, 雜八","雜九, 雜八","和, 猴","7點","7點"
"和, 猴, 雜五, 雜五","和, 猴","雜五, 雜五","7點","雜五對"
"和, 猴, 雜五, 雜八","雜八, 猴","和, 雜五","4點","9點"
"和, 猴, 雜八, 雜八","和, 猴","雜八, 雜八","7點","雜八對"
"和, 短七, 短七, 短六","和, 短六","短七, 短七","0點","短七對"
"和, 短七, 短七, 短十","和, 短十","短七, 短七","4點","短七對"
"和, 短七, 短七, 短十一","和, 短十一","短七, 短七","5點","短七對"
"和, 短七, 短七, 長六","和, 長六","短七, 短七","0點","短七對"
"和, 短七, 短七, 長十","和, 長十","短七, 短七","4點","短七對"
"和, 短七, 短七, 長四","和, 長四","短七, 短七","8點","短七對"
"和, 短七, 短七, 雜七","和, 雜七","短七, 短七","1點","短七對"
"和, 短七, 短七, 雜九","和, 雜九","短七, 短七","3點","短七對"
"和, 短七, 短七, 雜五","和, 雜五","短七, 短七","9點","短七對"
"和, 短七, 短七, 雜八","和, 雜八","短七, 短七","2點","短七對"
"和, 短七, 短六, 短六","和, 短七","短六, 短六","1點","短六對"
"和, 短七, 短六, 短十","和, 短六","短十, 短七","0點","7點"
"和, 短七, 短六, 短十一","和, 短六","短十一, 短七","0點","8點"
"和, 短七, 短六, 長六","和, 短七","長六, 短六","1點","2點"
"和, 短七, 短六, 長十","和, 短六","長十, 短七","0點","7點"
"和, 短七, 短六, 長四","短七, 短六","和, 長四","3點","8點"
"和, 短七, 短六, 雜七","和, 短七","短六, 雜七","1點","3點"
"和, 短七, 短六, 雜九","短七, 短六","和, 雜九","3點","3點"
"和, 短七, 短六, 雜五","短七, 短六","和, 雜五","3點","9點"
"和, 短七, 短六, 雜八","和, 雜八","短七, 短六","2點","3點"
"和, 短七, 短十, 短十","和, 短七","短十, 短十","1點","短十對"
"和, 短七, 短十, 短十一","和, 短十一","短十, 短七","5點","7點"
"和, 短七, 短十, 長六","長六, 短七","和, 短十","3點","4點"
"和, 短七, 短十, 長十","和, 長十","短十, 短七","4點","7點"
"和, 短七, 短十, 長四","短十, 短七","和, 長四","7點","8點"
"和, 短七, 短十, 雜七","短七, 雜七","和, 短十","4點","4點"
"和, 短七, 短十, 雜九","和, 短十","短七, 雜九","4點","6點"
"和, 短七, 短十, 雜五","短十, 短七","和, 雜五","7點","9點"
"和, 短七, 短十, 雜八","和, 短十","短七, 雜八","4點","5點"
"和, 短七, 短十一, 短十一","和, 短七","短十一, 短十一","1點","短十一對"
"和, 短七, 短十一, 長六","長六, 短七","和, 短十一","3點","5點"
"和, 短七, 短十一, 長十","和, 短十一","長十, 短七","5點","7點"
"和, 短七, 短十一, 長四","短十一, 短七","和, 長四","8點","8點"
"和, 短七, 短十一, 雜七","短七, 雜七","和, 短十一","4點","5點"
"和, 短七, 短十一, 雜九","和, 短十一","短七, 雜九","5點","6點"
"和, 短七, 短十一, 雜五","短十一, 短七","和, 雜五","8點","9點"
"和, 短七, 短十一, 雜八","短七, 雜八","和, 短十一","5點","5點"
"和, 短七, 長六, 長六","和, 短七","長六, 長六","1點","長六對"
"和, 短七, 長六, 長十","長六, 短七","和, 長十","3點","4點"
"和, 短七, 長六, 長四","長六, 短七","和, 長四","3點","8點"
"和, 短七, 長六, 雜七","和, 短七","長六, 雜七","1點","3點"
"和, 短七, 長六, 雜九","長六, 短七","和, 雜九","3點","3點"
"和, 短七, 長六, 雜五","長六, 短七","和, 雜五","3點","9點"
"和, 短七, 長六, 雜八","和, 雜八","長六, 短七","2點","3點"
"和, 短七, 長十, 長十","和, 短七","長十, 長十","1點","長十對"
"和, 短七, 長十, 長四","長十, 短七","和, 長四","7點","8點"
"和, 短七, 長十, 雜七","短七, 雜七","和, 長十","4點","4點"
"和, 短七, 長十, 雜九","和, 長十","短七, 雜九","4點","6點"
"和, 短七, 長十, 雜五","長十, 短七","和, 雜五","7點","9點"
"和, 短七, 長十, 雜八","和, 長十","短七, 雜八","4點","5點"
"和, 短七, 長四, 長四","和, 短七","長四, 長四","1點","長四對"
"和, 短七, 長四, 雜七","短七, 雜七","和, 長四","4點","8點"
"和, 短七, 長四, 雜九","短七, 雜九","和, 長四","6點","8點"
"和, 短七, 長四, 雜五","長四, 短七","和, 雜五","1點","9點"
"和, 短七, 長四, 雜八","短七, 雜八","和, 長四","5點","8點"
"和, 短七, 雜七, 雜七","和, 短七","雜七, 雜七","1點","雜七對"
"和, 短七, 雜七, 雜九","和, 雜九","短七, 雜七","3點","4點"
"和, 短七, 雜七, 雜五","短七, 雜七","和, 雜五","4點","9點"
"和, 短七, 雜七, 雜八","和, 雜八","短七, 雜七","2點","4點"
"和, 短七, 雜九, 雜九","和, 短七","雜九, 雜九","1點","雜九對"
"和, 短七, 雜九, 雜五","短七, 雜九","和, 雜五","6點","9點"
"和, 短七, 雜九, 雜八","和, 雜九","短七, 雜八","3點","5點"
"和, 短七, 雜五, 雜五","和, 短七","雜五, 雜五","1點","雜五對"
"和, 短七, 雜五, 雜八","短七, 雜八","和, 雜五","5點","9點"
"和, 短七, 雜八, 雜八","和, 短七","雜八, 雜八","1點","雜八對"
"和, 短六, 短六, 短十","和, 短十","短六, 短六","4點","短六對"
"和, 短六, 短六, 短十一","和, 短十一","短六, 短六","5點","短六對"
"和, 短六, 短六, 長六","和, 長六","短六, 短六","0點","短六對"
"和, 短六, 短六, 長十","和, 長十","短六, 短六","4點","短六對"
"和, 短六, 短六, 長四","和, 長四","短六, 短六","8點","短六對"
"和, 短六, 短六, 雜七","和, 雜七","短六, 短六","1點","短六對"
"和, 短六, 短六, 雜九","和, 雜九","短六, 短六","3點","短六對"
"和, 短六, 短六, 雜五","和, 雜五","短六, 短六","9點","短六對"
"和, 短六, 短六, 雜八","和, 雜八","短六, 短六","2點","短六對"
"和, 短六, 短十, 短十","和, 短六","短十, 短十","0點","短十對"
"和, 短六, 短十, 短十一","和, 短十一","短十, 短六","5點","6點"
"和, 短六, 短十, 長六","長六, 短六","和, 短十","2點","4點"
"和, 短六, 短十, 長十","和, 長十","短十, 短六","4點","6點"
"和, 短六, 短十, 長四","短十, 短六","和, 長四","6點","8點"
"和, 短六, 短十, 雜七","和, 短六","短十, 雜七","0點","7點"
"和, 短六, 短十, 雜九","和, 短十","短六, 雜九","4點","5點"
"和, 短六, 短十, 雜五","短十, 短六","和, 雜五","6點","9點"
"和, 短六, 短十, 雜八","短六, 雜八","和, 短十","4點","4點"
"和, 短六, 短十一, 短十一","和, 短六","短十一, 短十一","0點","短十一對"
"和, 短六, 短十一, 長六","和, 短六","長六, 短十一","0點","7點"
"和, 短六, 短十一, 長十","和, 短十一","長十, 短六","5點","6點"
"和, 短六, 短十一, 長四","短十一, 短六","和, 長四","7點","8點"
"和, 短六, 短十一, 雜七","和, 短六","短十一, 雜七","0點","8點"
"和, 短六, 短十一, 雜九","短六, 雜九","和, 短十一","5點","5點"
"和, 短六, 短十一, 雜五","短十一, 短六","和, 雜五","7點","9點"
"和, 短六, 短十一, 雜八","短六, 雜八","和, 短十一","4點","5點"
"和, 短六, 長六, 長六","和, 短六","長六, 長六","0點","長六對"
"和, 短六, 長六, 長十","長六, 短六","和, 長十","2點","4點"
"和, 短六, 長六, 長四","長六, 短六","和, 長四","2點","8點"
"和, 短六, 長六, 雜七","和, 雜七","長六, 短六","1點","2點"
"和, 短六, 長六, 雜九","長六, 短六","和, 雜九","2點","3點"
"和, 短六, 長六, 雜五","長六, 短六","和, 雜五","2點","9點"
"和, 短六, 長六, 雜八","長六, 短六","和, 雜八","2點","2點"
"和, 短六, 長十, 長十","和, 短六","長十, 長十","0點","長十對"
"和, 短六, 長十, 長四","長十, 短六","和, 長四","6點","8點"
"和, 短六, 長十, 雜七","和, 短六","長十, 雜七","0點","7點"
"和, 短六, 長十, 雜九","和, 長十","短六, 雜九","4點","5點"
"和, 短六, 長十, 雜五","長十, 短六","和, 雜五","6點","9點"
"和, 短六, 長十, 雜八","短六, 雜八","和, 長十","4點","4點"
"和, 短六, 長四, 長四","和, 短六","長四, 長四","0點","長四對"
"和, 短六, 長四, 雜七","短六, 雜七","和, 長四","3點","8點"
"和, 短六, 長四, 雜九","短六, 雜九","和, 長四","5點","8點"
"和, 短六, 長四, 雜五","長四, 短六","和, 雜五","0點","9點"
"和, 短六, 長四, 雜八","短六, 雜八","和, 長四","4點","8點"
"和, 短六, 雜七, 雜七","和, 短六","雜七, 雜七","0點","雜七對"
"和, 短六, 雜七, 雜九","短六, 雜七","和, 雜九","3點","3點"
"和, 短六, 雜七, 雜五","短六, 雜七","和, 雜五","3點","9點"
"和, 短六, 雜七, 雜八","和, 雜八","短六, 雜七","2點","3點"
"和, 短六, 雜九, 雜九","和, 短六","雜九, 雜九","0點","雜九對"
"和, 短六, 雜九, 雜五","短六, 雜九","和, 雜五","5點","9點"
"和, 短六, 雜九, 雜八","和, 雜九","短六, 雜八","3點","4點"
"和, 短六, 雜五, 雜五","和, 短六","雜五, 雜五","0點","雜五對"
"和, 短六, 雜五, 雜八","短六, 雜八","和, 雜五","4點","9點"
"和, 短六, 雜八, 雜八","和, 短六","雜八, 雜八","0點","雜八對"
